Permit Number,Permit Type,Permit Type Definition,Permit Creation Date,Block,Lot,Street Number,Street Number Suffix,Street Name,Street Suffix,Unit,Unit Suffix,Description,Current Status,Current Status Date,Filed Date,Issued Date,Completed Date,First Construction Document Date,Structural Notification,Number of Existing Stories,Number of Proposed Stories,Voluntary Soft-Story Retrofit,Fire Only Permit,Permit Expiration Date,Estimated Cost,Revised Cost,Existing Use,Existing Units,Proposed Use,Proposed Units,Plansets,TIDF Compliance,Existing Construction Type,Existing Construction Type Description,Proposed Construction Type,Proposed Construction Type Description,Site Permit,Supervisor District,Neighborhoods - Analysis Boundaries,Zipcode,Location,Record ID
200003305837,2,new construction wood frame,03/30/2000,6951,039,228,A,Oneida,Av,,,erect a two story single family dwelling,complete,09/17/2008,03/30/2000,05/05/2006,09/17/2008,05/15/2006,,,2,,,05/05/2007,150000,260000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,11,Outer Mission,94112,POINT (-122.44253348043651 37.7222925652852),1052060450097
200003305844,2,new construction wood frame,03/30/2000,6951,038,228,B,Oneida,Av,0,,erect a two story single family dwelling,complete,09/17/2008,03/30/2000,05/05/2006,09/17/2008,05/15/2006,,,2,,,05/05/2007,150000,260000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,11,Outer Mission,94112,POINT (-122.44249474924075 37.72235532662907),1052061449084
200004036173,2,new construction wood frame,04/03/2000,3726,090,563,,Minna,St,,,erect 4 story 5 dwelling residenatial building,complete,10/01/2001,04/03/2000,10/13/2000,10/01/2001,,,,4,,,10/13/2002,540000,580000,,,apartments,5,4,,,,5,wood frame (5),Y,6,South of Market,94103,POINT (-122.40944318608709 37.7793186189376),809368164919
200004056407,2,new construction wood frame,04/05/2000,3731,015,1026,,Folsom,St,,,erect 4 story 12 units residential building,complete,12/04/2001,04/05/2000,11/06/2000,12/04/2001,11/07/2000,,,4,,,05/06/2003,1300000,2380000,,,artist live/work,12,4,,,,5,wood frame (5),Y,6,South of Market,94103,POINT (-122.40648612835966 37.778118978374806),809628165345
200004046293,2,new construction wood frame,04/04/2000,5652,001,688,,Powhattan,Av,,,erect 2 story single family dwelling,complete,08/29/2002,04/04/2000,07/10/2001,08/29/2002,07/11/2001,,,2,,,07/10/2002,235000,235000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,9,Bernal Heights,94110,POINT (-122.41278396060454 37.74137616049978),809587386653
200004046298,2,new construction wood frame,04/04/2000,4971,010,33,,Redondo,St,,,erect 2 story single family dwelling,complete,07/24/2001,04/04/2000,03/19/2001,07/24/2001,03/20/2001,,,2,,,03/19/2002,25000,190000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,10,Bayview Hunters Point,94124,POINT (-122.39227388936024 37.718007548609805),809580386651
200004046373,2,new construction wood frame,04/04/2000,3077,009,29,,San Andreas,Wy,,,erect a two story single family dwelling,expired,02/09/2010,04/04/2000,03/07/2007,,06/14/2007,,,2,,,03/07/2009,370000,755000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,7,West of Twin Peaks,94127,POINT (-122.46356556680396 37.733977068657126),809627386661
200004056447,2,new construction wood frame,04/05/2000,6565,007,1440,,Church,St,,,erect a four story two unit residential bldg,complete,02/12/2002,04/05/2000,01/16/2001,02/12/2002,01/18/2001,,,4,,,01/16/2003,500000,500000,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,8,Noe Valley,94131,POINT (-122.42734891318558 37.74789668063733),809705386672
200004056447,2,new construction wood frame,04/05/2000,6565,007,1442,,Church,St,,,erect a four story two unit residential bldg,complete,02/12/2002,04/05/2000,01/16/2001,02/12/2002,01/18/2001,,,4,,,01/16/2003,500000,500000,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,8,Noe Valley,94131,POINT (-122.42734891318558 37.74789668063733),809706386673
200004056499,2,new construction wood frame,04/05/2000,1733,025,1276,,18th,Av,,,to erect a 4-story 3 unit redential condo,complete,04/17/2002,04/05/2000,03/30/2001,04/17/2002,04/10/2001,,,4,,,03/30/2003,350000,485000,,,apartments,3,2,,,,5,wood frame (5),Y,4,Inner Sunset,94122,POINT (-122.47575568852895 37.764044025717304),809738112112
200004066555,2,new construction wood frame,04/06/2000,7380,019,1,,Thomas More,Wy,,,erect 3 story 125 dwelling units residential building,complete,11/19/2003,04/06/2000,09/13/2000,11/19/2003,12/12/2000,,,3,,,03/13/2005,10000000,10000000,,,nursing home non amb,125,2,,,,5,wood frame (5),Y,7,Lakeshore,94132,POINT (-122.47255825441621 37.71248501370822),809915386684
200004066555,2,new construction wood frame,04/06/2000,7380,020,1,,Thomas More,Wy,,,erect 3 story 125 dwelling units residential building,complete,11/19/2003,04/06/2000,09/13/2000,11/19/2003,12/12/2000,,,3,,,03/13/2005,10000000,10000000,,,nursing home non amb,125,2,,,,5,wood frame (5),Y,7,Lakeshore,94132,POINT (-122.47269266443064 37.71189055106918),809916386692
200004106789,2,new construction wood frame,04/10/2000,1067,018,99,,Blake,St,,,to erect four story apartment  w/commercial,complete,09/24/2001,04/10/2000,05/10/2000,09/24/2001,,,,4,,,05/10/2002,380000,630000,,,apartments,3,2,Y,,,5,wood frame (5),Y,2,Presidio Heights,94118,POINT (-122.4513255116939 37.782271926130306),81012588801
200004106789,2,new construction wood frame,04/10/2000,1067,018,3000,,Geary,Bl,,,to erect four story apartment  w/commercial,complete,09/24/2001,04/10/2000,05/10/2000,09/24/2001,,,,4,,,05/10/2002,380000,630000,,,apartments,3,2,Y,,,5,wood frame (5),Y,2,Presidio Heights,94118,POINT (-122.4513255116939 37.782271926130306),810305386732
200004076670,2,new construction wood frame,04/07/2000,0089,024,659,,Greenwich,St,,,erect 4-story single family dwelling,complete,11/13/2002,04/07/2000,05/04/2001,11/13/2002,05/07/2001,,,4,,,05/04/2003,599000,599000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,3,North Beach,94133,POINT (-122.41040674751409 37.80196154539374),80994058412
200004137122,1,new construction,04/13/2000,0738,017,851,,Van Ness,Av,,,to erect retail office residential,complete,12/12/2002,04/13/2000,06/10/2000,12/12/2002,02/28/2001,,,6,,,12/10/2004,8000000,8000000,,,retail sales,32,2,,,,3,constr type 3,Y,5,Western Addition,94109,POINT (-122.42135595247936 37.78352001681529),81044080756
200004137185,2,new construction wood frame,04/13/2000,3649,018,277,,Chattanooga,St,,,erect a new 3-story single family dwelling,expired,09/27/2002,04/13/2000,09/27/2001,,09/27/2001,,,3,,,09/27/2002,190000,190000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,8,Noe Valley,94114,POINT (-122.42605945613462 37.75219900313057),810677386753
200004147270,2,new construction wood frame,04/14/2000,0158,079,1500,,Taylor,St,,,to erect a 3 dwelling unit 5-story res. condo w/ commercial bldng,complete,10/18/2002,04/14/2000,01/30/2001,10/18/2002,03/06/2001,,,5,,,01/30/2003,480000,480000,,,apartments,3,2,,,,5,wood frame (5),Y,3,Nob Hill,94133,POINT (-122.4131649401095 37.796221082439075),81060061112
200004177472,2,new construction wood frame,04/17/2000,3775,097,415,,Bryant,St,,,to erect 4 story new bldg with 8 dwelling unit,complete,01/16/2002,04/17/2000,08/17/2000,01/16/2002,,,,4,,,08/17/2002,850000,850000,,,artist live/work,8,4,,,,5,wood frame (5),Y,6,Financial District/South Beach,94107,POINT (-122.39386339090282 37.78256683034705),810863167324
200004187535,2,new construction wood frame,04/18/2000,1626,003H,646,,19th,Av,,,to erect a 3-story 2 family dwelling units,complete,07/22/2002,04/18/2000,05/07/2001,07/22/2002,05/07/2001,,,3,,,05/07/2003,350000,370000,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,1,Outer Richmond,94121,POINT (-122.47763994609483 37.775711541944126),810931107436
200004187564,2,new construction wood frame,04/18/2000,7107,062,329,,Plymouth,Av,,,"one-stop, erect a 3-story 2 family dwelling",complete,06/29/2001,04/18/2000,09/15/2000,06/29/2001,09/22/2000,,,3,,,09/15/2001,250000,250000,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,11,Oceanview/Merced/Ingleside,94112,POINT (-122.45633525183285 37.71368348056254),811197386792
200004207734,2,new construction wood frame,04/20/2000,4153,012,1078,,Potrero,Av,,,erect a four story three unit residential bldg,issued,02/28/2001,04/20/2000,02/28/2001,,04/17/2001,,,4,,,02/28/2003,300000,508178,,,apartments,3,2,,,,5,wood frame (5),Y,9,Mission,94110,POINT (-122.40686443173492 37.75492545816563),811138171424
200004207745,2,new construction wood frame,04/20/2000,3731,089,175,,Russ,St,,,to erect 16 dwelling unit with 4 story new bldg,expired,01/05/2004,04/20/2000,01/12/2001,,04/18/2002,,,4,,,07/12/2003,2000000,2200000,,,artist live/work,16,4,,,,5,wood frame (5),Y,6,South of Market,94103,POINT (-122.40690100555267 37.778248636375054),811152376705
200004258175,2,new construction wood frame,04/25/2000,5378,003,8,,Waterville,St,,,to erect 1 dwelling unit with 2 story bldg,complete,01/17/2002,04/25/2000,04/28/2001,01/17/2002,,,,2,,,04/28/2002,150000,210980,,,1 family dwelling,1,2,,,,5,wood frame (5),,10,Bayview Hunters Point,94124,POINT (-122.40313247924904 37.73626482766746),811671369045
200004258177,2,new construction wood frame,04/25/2000,5378,003,6,,Waterville,St,,,to erect 1 dwelling unit with 2 story new bldg,expired,04/28/2002,04/25/2000,04/28/2001,,,,,2,,,04/28/2002,150000,210980,,,1 family dwelling,1,2,,,,5,wood frame (5),,10,Bayview Hunters Point,94124,POINT (-122.40313247924904 37.73626482766746),811676180896
200004288576,2,new construction wood frame,04/28/2000,1525,007,439,,19th,Av,,,to erect a 3 unit residential condo,complete,03/28/2003,04/28/2000,02/06/2001,03/28/2003,03/14/2001,,,4,,,02/06/2003,380000,418000,,,apartments,3,2,,,,5,wood frame (5),Y,1,Outer Richmond,94121,POINT (-122.47857247250131 37.77954705564754),816607386913
200010183359,2,new construction wood frame,10/18/2000,7092,090,206,,Lobos,St,,,erect a three story single family dwelling,complete,02/04/2003,10/18/2000,03/11/2002,02/04/2003,03/11/2002,,,3,,,03/11/2003,150000,251714,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,11,Oceanview/Merced/Ingleside,94112,POINT (-122.45945402597727 37.71505587542983),833371221143
200005028846,2,new construction wood frame,05/02/2000,4044,030,638,,19th,St,,,to erect 24 dwelling units (4 stories)  with commercial,expired,07/02/2010,05/02/2000,04/01/2003,,09/25/2003,,,4,,,01/01/2007,4000000,4126190,,,apartments,24,2,,,,5,wood frame (5),Y,10,Potrero Hill,94107,POINT (-122.38901834486065 37.76207965385805),816447386945
200005028846,2,new construction wood frame,05/02/2000,4044,030,638,,19th,St,,,to erect 24 dwelling units (4 stories)  with commercial,expired,07/02/2010,05/02/2000,04/01/2003,,09/25/2003,,,4,,,01/01/2007,4000000,4126190,,,apartments,24,2,,,,5,wood frame (5),Y,10,Potrero Hill,94107,POINT (-122.38901834486065 37.76207965385805),816448386946
20000106446,2,new construction wood frame,01/06/2000,6149,022,875,,Dartmouth,St,,,to erect a 2 story single family dwelling,complete,08/08/2001,05/08/2000,09/21/2000,08/08/2001,09/22/2000,,,2,,,09/21/2001,175000,175000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,9,Portola,94134,POINT (-122.40888549562317 37.719941139004234),817156386783
200005089352,2,new construction wood frame,05/08/2000,4031,027,698,,De Haro,St,,,to erect 2 dwelling unit with 3 stories new bldg,complete,10/29/2002,05/08/2000,01/23/2001,10/29/2002,,,,3,,,01/23/2003,225000,320000,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,10,Potrero Hill,94107,POINT (-122.40155304247364 37.761056890970565),817443387023
200005089384,2,new construction wood frame,05/08/2000,0793,024,491,,Fulton,St,,,erect a four story three unit residential bldg,complete,05/01/2001,05/08/2000,06/16/2000,05/01/2001,07/12/2000,,,4,,,06/16/2002,350000,688000,,,apartments,3,4,,,,5,wood frame (5),Y,5,Hayes Valley,94102,POINT (-122.42470896197631 37.778357676278915),81713581737
200005099456,2,new construction wood frame,05/09/2000,1560,018,579,,17th,Av,,,to erect a 2-story single family dwelling,complete,07/08/2002,05/09/2000,04/20/2001,07/08/2002,04/20/2001,,,2,,,04/20/2002,100000,210611,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,1,Outer Richmond,94121,POINT (-122.47624879342975 37.777091813396765),817214104415
200005099478,2,new construction wood frame,05/09/2000,3787,009,200,,Townsend,St,,,erect 5 story 51 dwelling commercial live/work units,complete,10/15/2003,05/09/2000,08/28/2000,10/15/2003,04/11/2001,,,5,,,02/28/2005,4700000,5593000,,,artist live/work,51,2,Y,,,5,wood frame (5),Y,6,South of Market,94107,POINT (-122.39335856392938 37.779015597910345),817413387019
200005099478,2,new construction wood frame,05/09/2000,3787,010,200,,Townsend,St,,,erect 5 story 51 dwelling commercial live/work units,complete,10/15/2003,05/09/2000,08/28/2000,10/15/2003,04/11/2001,,,5,,,02/28/2005,4700000,5593000,,,artist live/work,51,2,Y,,,5,wood frame (5),Y,6,South of Market,94107,POINT (-122.39323108900427 37.77891077490267),817414387020
200005099478,2,new construction wood frame,05/09/2000,3787,011,200,,Townsend,St,,,erect 5 story 51 dwelling commercial live/work units,complete,10/15/2003,05/09/2000,08/28/2000,10/15/2003,04/11/2001,,,5,,,02/28/2005,4700000,5593000,,,artist live/work,51,2,Y,,,5,wood frame (5),Y,6,South of Market,94107,POINT (-122.3930665315434 37.778825990477145),817415387021
200005099478,2,new construction wood frame,05/09/2000,3787,046,200,,Townsend,St,,,erect 5 story 51 dwelling commercial live/work units,complete,10/15/2003,05/09/2000,08/28/2000,10/15/2003,04/11/2001,,,5,,,02/28/2005,4700000,5593000,,,artist live/work,51,2,Y,,,5,wood frame (5),Y,6,South of Market,94107,POINT (-122.3935142709042 37.77882883950075),817416387022
200005099501,2,new construction wood frame,05/09/2000,3775,026,181,,South Park,,,,"erect a four story, five unit live/work loft",complete,12/24/2002,05/09/2000,11/06/2000,12/24/2002,12/19/2000,,,4,,,05/06/2003,2300000,2300000,,,artist live/work,5,2,Y,,,5,wood frame (5),Y,6,Financial District/South Beach,94107,POINT (-122.39449349400225 37.78075441719541),817264167267
200005159964,1,new construction,05/15/2000,0302,024,949,,Post,St,,,to erect 5 stories of 24 dwelling units,complete,12/04/2003,05/15/2000,02/25/2002,12/04/2003,,,,5,,,08/25/2004,600000,1064400,,,apartments,24,2,,,,1,constr type 1,,6,Tenderloin,94109,POINT (-122.41743308211186 37.78688359182278),81776267289
200005160089,2,new construction wood frame,05/16/2000,4791,007,1350,,Thomas,Av,,,erect a three story single family dwelling,complete,02/25/2005,05/16/2000,09/30/2004,02/25/2005,09/30/2004,,,2,,,09/30/2005,125000,185000,,,1 family dwelling,1,4,,,,5,wood frame (5),Y,10,Bayview Hunters Point,94124,POINT (-122.3864870104611 37.72799448224926),818503175125
200005160095,2,new construction wood frame,05/16/2000,4791,007,1352,,Thomas,Av,,,erect a two stories single family dwelling,complete,02/25/2005,05/16/2000,09/30/2004,02/25/2005,09/30/2004,,,2,,,09/30/2005,125000,185000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,10,Bayview Hunters Point,94124,POINT (-122.3864870104611 37.72799448224926),818504387095
200005160133,2,new construction wood frame,05/16/2000,1166,016,2686,,Mcallister,St,,,erect a three story two unit residential bldg,complete,12/27/2002,05/16/2000,03/16/2001,12/27/2002,,,,4,,,03/16/2003,400000,400000,,,2 family dwelling,2,2,,,,5,wood frame (5),,1,Lone Mountain/USF,94118,POINT (-122.4562254883493 37.775782204152776),81796191100
200005180379,2,new construction wood frame,05/18/2000,0785,039,679,,Mcallister,St,,,"to erect a 3 story , 1 parking ofice building",expired,06/07/2004,05/18/2000,11/30/2000,,,,,2,,,11/30/2002,450000,450000,,,office,1,2,,,,5,wood frame (5),,5,Hayes Valley,94102,POINT (-122.42306156584593 37.779478256795144),81825181709
200005190456,2,new construction wood frame,05/19/2000,4996,023,951,,Key,Av,,,to erect a new 2 story 2 family dwelling,complete,10/11/2001,05/19/2000,09/15/2000,10/11/2001,02/14/2001,,,2,,,09/15/2001,280000,280000,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,10,Bayview Hunters Point,94124,POINT (-122.39513039673326 37.71811476217818),818340177277
200005190456,2,new construction wood frame,05/19/2000,4996,023,949,,Key,Av,,,to erect a new 2 story 2 family dwelling,complete,10/11/2001,05/19/2000,09/15/2000,10/11/2001,02/14/2001,,,2,,,09/15/2001,280000,280000,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,10,Bayview Hunters Point,94124,POINT (-122.39513039673326 37.71811476217818),897748391230
200005230758,2,new construction wood frame,05/23/2000,0817,001,401,,Hayes,St,,,erect a 4 story 14 dwelling unit/commercial unit,complete,06/24/2003,05/23/2000,03/14/2001,06/24/2003,10/12/2001,,,4,,,12/14/2004,2500000,2880000,,,apartments,14,4,,,,5,wood frame (5),Y,5,Hayes Valley,94102,POINT (-122.42315624366242 37.776597409058155),819326387295
200005230758,2,new construction wood frame,05/23/2000,0817,001,300,,Linden,St,,,erect a 4 story 14 dwelling unit/commercial unit,complete,06/24/2003,05/23/2000,03/14/2001,06/24/2003,10/12/2001,,,4,,,12/14/2004,2500000,2880000,,,apartments,14,4,,,,5,wood frame (5),Y,5,Hayes Valley,94102,POINT (-122.42315624366242 37.776597409058155),819327387294
200005230773,2,new construction wood frame,05/23/2000,6596,012,3294,,Mission,St,,,to erect 33 dwelling unit with 4 story new bldg,complete,02/05/2004,05/23/2000,04/24/2002,02/05/2004,06/25/2002,,,4,,,10/24/2006,1000000,5800000,,,apartments,33,2,,,,5,wood frame (5),Y,9,Bernal Heights,94110,POINT (-122.42128472658395 37.74431650786808),818939208604
200005240891,2,new construction wood frame,05/24/2000,3794,004A,188,,King,St,,,erect a seven story forty f0ur unit live/work bldg,complete,07/12/2006,05/24/2000,08/28/2000,07/12/2006,01/02/2001,,,44,,,02/28/2005,8000000,8000000,,,artist live/work,7,2,,,,1,constr type 1,Y,6,Mission Bay,94107,POINT (-122.39181630661191 37.778632097874194),819079167866
200005251056,2,new construction wood frame,05/25/2000,3588,017,3524,,19th,St,,,erect a three story two unit residential bldg,complete,07/15/2002,05/25/2000,02/01/2001,07/15/2002,02/02/2001,,,3,,,02/01/2003,450000,450000,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,8,Mission,94110,POINT (-122.4220641735601 37.760288537712796),819270160379
200005251056,2,new construction wood frame,05/25/2000,3588,017,3526,,19th,St,,,erect a three story two unit residential bldg,complete,07/15/2002,05/25/2000,02/01/2001,07/15/2002,02/02/2001,,,3,,,02/01/2003,450000,450000,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,8,Mission,94110,POINT (-122.4220641735601 37.760288537712796),867400387292
200005261163,2,new construction wood frame,05/26/2000,0525,025,2458,,Polk,St,,,erect a five story four unit residence,complete,02/21/2002,05/26/2000,10/26/2000,02/21/2002,02/01/2001,,,5,,,10/26/2002,400000,730000,,,apartments,4,2,,,,5,wood frame (5),Y,2,Russian Hill,94109,POINT (-122.42219775882117 37.7995353843929),81939573037
200005261133,2,new construction wood frame,05/26/2000,1375,041,138,,16th,Av,,,erect a three story two unit residential bldg,expired,01/24/2002,05/26/2000,09/22/2000,,,,,3,,,09/22/2001,200000,298800,,,2 family dwelling,2,2,,,,5,wood frame (5),,1,Outer Richmond,94118,POINT (-122.47510931779651 37.78543828475081),81936497387
200005261145,2,new construction wood frame,05/26/2000,7114,054,255,,Broad,St,,,to erect a 1 unit 1 1/2 story building,complete,08/10/2001,05/26/2000,01/25/2001,08/10/2001,01/25/2001,,,2,,,01/25/2002,180000,214000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,11,Oceanview/Merced/Ingleside,94112,POINT (-122.46101735664689 37.71287938072584),819419387304
200005261195,2,new construction wood frame,05/26/2000,6189,030,662,,Campbell,Av,,,erect a three story single family dwelling,expired,01/23/2009,05/26/2000,05/01/2003,,05/09/2003,,,3,,,05/01/2004,150000,223000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,10,Visitacion Valley,94134,POINT (-122.40964747541084 37.71632176987693),819440387307
200005261195,2,new construction wood frame,05/26/2000,6189,031,662,,Campbell,Av,,,erect a three story single family dwelling,expired,01/23/2009,05/26/2000,05/01/2003,,05/09/2003,,,3,,,05/01/2004,150000,223000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,10,Visitacion Valley,94134,POINT (-122.40961968873555 37.71638678455009),819441387310
200005261199,2,new construction wood frame,05/26/2000,6189,030,638,,Campbell,Av,,,erect a three story single family dwelling,expired,03/01/2007,05/26/2000,04/07/2003,,04/08/2003,,,3,,,04/07/2004,150000,223000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,10,Visitacion Valley,94134,POINT (-122.40964747541084 37.71632176987693),819445387305
200005261199,2,new construction wood frame,05/26/2000,6189,031,638,,Campbell,Av,,,erect a three story single family dwelling,expired,03/01/2007,05/26/2000,04/07/2003,,04/08/2003,,,3,,,04/07/2004,150000,223000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,10,Visitacion Valley,94134,POINT (-122.40961968873555 37.71638678455009),819446387308
200005261202,2,new construction wood frame,05/26/2000,6189,030,660,,Campbell,Av,,,erect a three story single family dwelling,expired,03/01/2007,05/26/2000,04/07/2003,,04/08/2003,,,3,,,04/07/2004,150000,223000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,10,Visitacion Valley,94134,POINT (-122.40964747541084 37.71632176987693),819443387306
200005261202,2,new construction wood frame,05/26/2000,6189,031,660,,Campbell,Av,,,erect a three story single family dwelling,expired,03/01/2007,05/26/2000,04/07/2003,,04/08/2003,,,3,,,04/07/2004,150000,223000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,10,Visitacion Valley,94134,POINT (-122.40961968873555 37.71638678455009),819444387309
200005301218,2,new construction wood frame,05/30/2000,3576,079,601,,Valencia,St,,,to erect 24 dwelling and commercial,complete,06/27/2003,05/30/2000,02/03/2001,06/27/2003,04/23/2002,,,4,,,11/03/2004,500000,4400000,,,apartments,24,4,,,,5,wood frame (5),Y,9,Mission,94110,POINT (-122.42139500388522 37.763091596428524),819455159469
200006061859,2,new construction wood frame,06/06/2000,6250,021,129,,Leland,Av,,,erect 3-story type-5 building,complete,07/08/2002,06/06/2000,03/27/2001,07/08/2002,,,,3,,,07/27/2001,500,,,,apartments,3,2,,,,5,wood frame (5),,10,Visitacion Valley,94134,POINT (-122.40616032278298 37.711894556159464),820375199276
200006072051,2,new construction wood frame,06/07/2000,1730,006,1233,,20th,Av,,,to erect 3 stories of 3 family dwelling,complete,08/27/2001,06/07/2000,11/30/2000,08/27/2001,12/04/2000,,,3,,,11/30/2002,200000,481480,,,apartments,3,2,,,,5,wood frame (5),Y,4,Sunset/Parkside,94122,POINT (-122.47860568725102 37.764675396822604),820398111975
200006082104,2,new construction wood frame,06/08/2000,4031,026,692,,De Haro,St,,,to erect 3 story  new  bldg with 2 dwelling unit,complete,01/16/2003,06/08/2000,01/23/2001,01/16/2003,,,,3,,,01/23/2003,285000,320000,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,10,Potrero Hill,94107,POINT (-122.40156588352485 37.76118990225801),820860387433
200006082107,2,new construction wood frame,06/08/2000,4031,026,696,,De Haro,St,,,to erect 2 dwelling unit with 3 story new bldg,complete,10/29/2002,06/08/2000,01/23/2001,10/29/2002,,,,3,,,01/23/2003,285000,320000,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,10,Potrero Hill,94107,POINT (-122.40156588352485 37.76118990225801),866798387434
200006082111,2,new construction wood frame,06/08/2000,4065,005,444,,Mississippi,St,,,erect a three story two unit residential bldg,complete,11/09/2001,06/08/2000,03/27/2001,11/09/2001,04/10/2001,,,3,,,03/27/2003,330000,330000,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,10,Potrero Hill,94107,POINT (-122.39473034577568 37.76082790327331),820874387439
200006082111,2,new construction wood frame,06/08/2000,4065,005,446,,Mississippi,St,,,erect a three story two unit residential bldg,complete,11/09/2001,06/08/2000,03/27/2001,11/09/2001,04/10/2001,,,3,,,03/27/2003,330000,330000,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,10,Potrero Hill,94107,POINT (-122.39473034577568 37.76082790327331),820875387440
200006082113,2,new construction wood frame,06/08/2000,4031,026,694,,De Haro,St,,,to erect 2 dwelling unit with 3 story new bldg,complete,01/16/2003,06/08/2000,01/23/2001,01/16/2003,,,,3,,,01/23/2003,285000,320000,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,10,Potrero Hill,94107,POINT (-122.40156588352485 37.76118990225801),820857387435
200006082116,2,new construction wood frame,06/08/2000,4065,005,440,,Mississippi,St,,,new two unit/three story residential condo unit,complete,11/09/2001,06/08/2000,03/27/2001,11/09/2001,03/27/2001,,,3,,,03/27/2003,330000,330000,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,10,Potrero Hill,94107,POINT (-122.39473034577568 37.76082790327331),820865169373
200006082116,2,new construction wood frame,06/08/2000,4065,005,442,,Mississippi,St,,,new two unit/three story residential condo unit,complete,11/09/2001,06/08/2000,03/27/2001,11/09/2001,03/27/2001,,,3,,,03/27/2003,330000,330000,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,10,Potrero Hill,94107,POINT (-122.39473034577568 37.76082790327331),820866387438
200006102307,2,new construction wood frame,06/10/2000,3576,045,85,,Sycamore,St,,,erect a four story three unit residential bldg,complete,06/13/2002,06/10/2000,06/28/2001,06/13/2002,06/28/2001,,,4,,,06/28/2003,650000,650000,,,apartments,3,2,,,,5,wood frame (5),Y,9,Mission,94110,POINT (-122.42109762701922 37.7625165585396),820693159438
200006102307,2,new construction wood frame,06/10/2000,3576,045,87,,Sycamore,St,,,erect a four story three unit residential bldg,complete,06/13/2002,06/10/2000,06/28/2001,06/13/2002,06/28/2001,,,4,,,06/28/2003,650000,650000,,,apartments,3,2,,,,5,wood frame (5),Y,9,Mission,94110,POINT (-122.42109762701922 37.7625165585396),820879387437
200006092279,2,new construction wood frame,06/09/2000,6204,010,32,,Teddy,Av,,,to erect a new 2-story single family dwelling,complete,06/19/2001,06/09/2000,09/28/2000,06/19/2001,09/29/2000,,,2,,,09/28/2001,125000,168000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,10,Visitacion Valley,94134,POINT (-122.40270454609134 37.71345742279421),820648387415
200006122468,2,new construction wood frame,06/12/2000,6955,037,49,,Ocean,Av,,,erect a four story eleven unit residential/comer,complete,01/02/2004,06/12/2000,05/24/2002,01/02/2004,09/27/2002,,,4,,,11/24/2004,900000,1804024,,,apartments,11,2,,,,5,wood frame (5),Y,11,Outer Mission,94112,POINT (-122.43690964843316 37.72355064367672),820880215213
200006152766,2,new construction wood frame,06/15/2000,6244,039,455,,Raymond,Av,,,one stop- (ch)  erect3 stories single family dwelling,complete,09/25/2002,06/15/2000,07/13/2001,09/25/2002,07/18/2001,,,3,,,07/13/2003,321000,,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,10,Visitacion Valley,94134,POINT (-122.41264466677305 37.7145096902657),821209199021
200006172951,1,new construction,06/17/2000,3774,024,200,,Brannan,St,,,to erect 189 dwelling units,expired,09/01/2006,06/17/2000,10/03/2000,,12/26/2001,,,5,,,10/03/2006,3000000,55000000,,,retail sales,189,4,,,,1,constr type 1,Y,6,Financial District/South Beach,94107,POINT (-122.3907260326126 37.78361736910601),821429167190
200006203163,2,new construction wood frame,06/20/2000,6004,028,955,,Excelsior,Av,,,to erect a 2-story single-family dwelling,expired,10/23/2002,06/20/2000,10/23/2001,,10/24/2001,,,2,,,10/23/2002,100000,209500,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,11,Excelsior,94112,POINT (-122.42557333701033 37.72265527634513),821822387536
