,id,name,serviceProviderCode,hostId,logLevel,enabled,display,hostedACA,isForDemo,state,country,defaultAppActive,databaseType,iconName
368,1beeb5d0-e4d2-4bd6-a54e-299fa1c9cf70,FreddyDEV,fredericton,6d73a8a5-a419-4ecd-ba82-dfe58e821cf6,90,True,,,False,NB,CA,True,2,
370,e5a5ea7d-d630-4f5e-a570-29fd13f226de,RENONV,RENO,21c44f07-cba8-49d7-902d-b8b300a89fdc,90,True,"City of Reno, NV",True,False,NV,US,True,1,logo.png
375,74dd1da6-aa7c-4603-b85f-2a956b7afe3b,ST_HELENS,ST_HELENS,30a4a660-2bac-48c1-868d-98d6599cf1b6,90,True,,True,False,OR,US,True,1,
383,e7ccb636-0997-4c27-8b41-2b438264305f,CDD,CDD,dfb5a8a2-53f9-4c6d-b42d-8cb1d9267a5a,90,True,Jordan-CDD,,False,Amman,JO,True,2,
390,24e37d27-50fd-4c08-a573-2b80125f835e,EEA,EEA,60713347-dddf-4b40-8a29-eb47f74e8522,90,True,The Commonwealth of Massachusetts Office of Energy and Environmental Affairs,,False,MA,US,True,1,
393,bbd2a430-1471-497c-8d2f-2be24af6a83b,CHANDLER,CHANDLER,ccc97808-55aa-435a-9d1b-62a404d2b190,90,True,"TEST Chandler, AZ",True,False,AZ,US,True,1,logo.png
398,f0942579-c87d-4512-a5cf-2c5fd06507e5,CHINO,CHINO,cf17cf76-57ed-4dc4-8d38-d60a52e1e757,90,True,CHINO,True,False,CA,US,True,2,logo.jpg
399,e5074dec-70a9-488e-ad79-2c7390136371,HERMISTON,HERMISTON,30a4a660-2bac-48c1-868d-98d6599cf1b6,90,True,Hermiston,True,False,OR,US,True,1,logo.jpg
400,d5cc8721-aeb0-4c00-b1da-2c7e9ac3f503,COSA,COSA,51f907d5-5a12-456c-932b-48100e1940d4,90,True,City of San Antonio,True,False,TX,US,False,2,logo.png
402,676367e8-02ce-4f03-af16-2cc1aa943616,ARCHCO,ARCHCO,52f80df3-26db-462a-8c4c-125fdb29ce97,90,True,ARCHCO,True,False,CO,US,True,2,
410,20446996-1fe3-4acd-9cba-2e37d238e792,JACKSON_CO,JACKSON_CO,30a4a660-2bac-48c1-868d-98d6599cf1b6,90,True,Jackson County,True,False,OR,US,True,1,logo.jpg
428,6dbee292-1c24-4d40-aaa0-30ea640b9b08,LJCMG,LJCMG,52f80df3-26db-462a-8c4c-125fdb29ce97,90,True,LJCMG,True,False,KY,US,True,2,
435,0a379377-3e8f-4878-9cff-31905b2ae0ab,SANTACLARITA,SANTACLARITA,52f80df3-26db-462a-8c4c-125fdb29ce97,90,True,City of Santa Clarita,True,False,CA,US,True,2,logo.png
440,6a7b21f0-739e-481c-9076-31f3463f28b1,CANNON_BEACH,CANNON_BEACH,30a4a660-2bac-48c1-868d-98d6599cf1b6,90,True,Cannon Beach,True,False,OR,US,True,1,logo.jpg
441,ad449257-5ea4-4ab5-88ec-31f92ac84038,BREVARD,BREVARD,68b28661-7d97-4038-9323-c717e8474a58,90,True,,True,False,FL,US,True,1,logo.jpg
442,1336dd89-418f-4e34-9f26-3210ef1e1428,WESLACO,WESLACO,e2cb7068-865f-4b0d-b774-4d1a63e66c61,90,True,City of Weslaco,True,False,TX,US,True,1,logo.png
445,feace12c-430c-4be9-9ade-3268960cf790,TALENT,TALENT,30a4a660-2bac-48c1-868d-98d6599cf1b6,90,True,Talent,True,False,OR,US,True,1,logo.jpg
446,8b7606f1-6d51-4d2c-92f4-328103bf4a7e,KINGSTON,KINGSTON,18c32bcc-c4f0-4084-8ce7-74c28426e383,90,True,"Kingston, ON",True,False,ON,CA,True,2,logo.jpg
451,a295db30-b0f5-4caa-b084-33715b33c24c,PIMA,PIMA,52f80df3-26db-462a-8c4c-125fdb29ce97,100,True,"Pima, AZ",True,False,AZ,US,True,2,
454,d19a357b-6c73-4512-bf27-338a2cf24857,MIMM,MIMM,52f80df3-26db-462a-8c4c-125fdb29ce97,90,True,,True,False,MI,US,True,2,
457,95ec0b95-d649-4302-989b-33f1bf6d3fe0,LINCOLNCA,LINCOLNCA,52f80df3-26db-462a-8c4c-125fdb29ce97,90,True,,,False,CA,US,True,2,
466,7bdf5712-7162-4567-85e4-34c860a05e55,SCAPPOOSE,SCAPPOOSE,30a4a660-2bac-48c1-868d-98d6599cf1b6,90,True,Scappoose,True,False,OR,US,True,1,logo.jpg
468,d3b816c1-8801-4b53-b0e5-34f1d1ff216d,POLK_CO,POLK_CO,30a4a660-2bac-48c1-868d-98d6599cf1b6,90,True,Polk County,True,False,OR,US,True,1,logo.jpg
469,19297946-f9be-4cc2-a644-356ef89a057d,LWDD,LWDD,52f80df3-26db-462a-8c4c-125fdb29ce97,90,True,LWDD,True,False,FL,US,True,2,logo.jpg
470,a0abcf45-9b4d-4622-9b59-357cd111c5d1,HAMILTONCOUNTY,HAMILTONCOUNTY,7d2cd364-d72c-4f91-8a83-c47405169ad3,90,True,HAMILTONCOUNTY,,False,OH,US,True,1,
472,7b3c479c-d9f9-4f92-92b5-35a11bf5b73b,knoxville,knoxville,ec63d43e-a60f-4968-89a1-2b78ce06298d,90,True,"City of Knoxville, TN",True,False,TN,US,True,1,logo.png
473,f3fb85fc-8c93-4d42-9f7c-35c174f75c6a,BPTDEV-CANADA,BPTDEV,bb203581-b63e-4ad5-9569-ec5f02425477,90,True,,,False,ON,CA,True,1,
475,cf435e56-7749-451d-850f-35cbfe1f58b6,SPSA,SPSA,938c393b-b17e-44ff-8cd4-424580c3dd22,90,True,Sharjah Prevention and Safety Authority,,False,SHARJAH,AE,True,2,logo.png
477,4d5dda1d-c177-442b-bc0d-36056ce50f8b,GRANDCO,GRANDCO,21c44f07-cba8-49d7-902d-b8b300a89fdc,90,True,Grand County,True,False,CO,US,True,1,
